Handle,Title,Recommendable (product.metafields.calculator.recommendable),System Type (product.metafields.calculator.system_type),Zone Count (product.metafields.calculator.zone_count),Unit Type (product.metafields.calculator.unit_type),Series (product.metafields.calculator.series),Nominal BTU (product.metafields.calculator.nominal_btu),Outdoor Capacity BTU (product.metafields.calculator.outdoor_capacity_btu),Head Configuration (product.metafields.calculator.head_configuration),Head Vector Key (product.metafields.calculator.head_vector_key),Connected Head Total BTU (product.metafields.calculator.connected_head_total_btu),Connected Capacity Ratio (product.metafields.calculator.connected_capacity_ratio),Climate Min F (product.metafields.calculator.climate_min_f),Climate Max F (product.metafields.calculator.climate_max_f),Climate Tier (product.metafields.calculator.climate_tier),SEER2 (product.metafields.calculator.seer2),Refrigerant (product.metafields.calculator.refrigerant),Merchandising Priority (product.metafields.calculator.merchandising_priority),Data Quality Score (product.metafields.calculator.data_quality_score),Voltage Policy (product.metafields.calculator.voltage_policy),Heating Sizing Supported (product.metafields.calculator.heating_sizing_supported)
della-optima-cloudair-series-35000-btu-quad-zone-mini-split-ac-9k-9k-9k-9k-up-to-1600-sq-ft,DELLA Optima CloudAir Series 35000 BTU Quad Zone Mini Split AC (9K+9K+9K+9K)  - Up to 1600 Sq.Ft.,TRUE,multi_zone,4,wall_mounted,Optima,35000,35000,9K+9K+9K+9K,9000-9000-9000-9000,36000,1.0286,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-tri-zone-mini-split-ac-12k-12k-12k-up-to-1650-sq-ft,DELLA Optima CloudAir Series 35000 BTU Tri-Zone Mini Split AC (12K+12K+12K)  - Up to 1650 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,35000,35000,12K+12K+12K,12000-12000-12000,36000,1.0286,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-tri-zone-mini-split-ac-9k-12k-12k-up-to-1500-sq-ft,DELLA Optima CloudAir Series 35000 BTU Tri-Zone Mini Split AC (9K+12K+12K)  - Up to 1500 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,35000,35000,9K+12K+12K,9000-12000-12000,33000,0.9429,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-35000-btu-tri-zone-mini-split-ac-9k-9k-18k-up-to-1800-sq-ft,DELLA Optima CloudAir Series 35000 BTU Tri-Zone Mini Split AC (9K+9K+18K)  - Up to 1800 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,35000,35000,9K+9K+18K,9000-9000-18000,36000,1.0286,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-dual-zone-mini-split-ac-18k-23k-up-to-2500-sq-ft,DELLA Optima CloudAir Series 42000 BTU Dual Zone Mini Split AC (18K+23K)  - Up to 2500 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,42000,42000,18K+23K,18000-23000,41000,0.9762,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-dual-zone-mini-split-ac-23k-23k-up-to-3000-sq-ft,DELLA Optima CloudAir Series 42000 BTU Dual Zone Mini Split AC (23K+23K)  - Up to 3000 Sq.Ft.,TRUE,multi_zone,2,wall_mounted,Optima,42000,42000,23K+23K,23000-23000,46000,1.0952,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-five-zone-mini-split-ac-9k-9k-9k-9k-9k-up-to-2000-sq-ft,DELLA Optima CloudAir Series 42000 BTU Five Zone Mini Split AC (9K+9K+9K+9K+9K)  - Up to 2000 Sq.Ft.,TRUE,multi_zone,5,wall_mounted,Optima,42000,42000,9K+9K+9K+9K+9K,9000-9000-9000-9000-9000,45000,1.0714,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-quad-zone-mini-split-ac-9k-12k-12k-12k-up-to-2050-sq-ft,DELLA Optima CloudAir Series 42000 BTU Quad Zone Mini Split AC (9K+12K+12K+12K)  - Up to 2050 Sq.Ft.,TRUE,multi_zone,4,wall_mounted,Optima,42000,42000,9K+12K+12K+12K,9000-12000-12000-12000,45000,1.0714,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-quad-zone-mini-split-ac-9k-9k-12k-12k-up-to-1900-sq-ft,DELLA Optima CloudAir Series 42000 BTU Quad Zone Mini Split AC (9K+9K+12K+12K)  - Up to 1900 Sq.Ft.,TRUE,multi_zone,4,wall_mounted,Optima,42000,42000,9K+9K+12K+12K,9000-9000-12000-12000,42000,1.0,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-quad-zone-mini-split-ac-9k-9k-9k-12k-up-to-1750-sq-ft,DELLA Optima CloudAir Series 42000 BTU Quad Zone Mini Split AC (9K+9K+9K+12K)  - Up to 1750 Sq.Ft.,TRUE,multi_zone,4,wall_mounted,Optima,42000,42000,9K+9K+9K+12K,9000-9000-9000-12000,39000,0.9286,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-quad-zone-mini-split-ac-9k-9k-9k-18k-up-to-2200-sq-ft,DELLA Optima CloudAir Series 42000 BTU Quad Zone Mini Split AC (9K+9K+9K+18K)  - Up to 2200 Sq.Ft.,TRUE,multi_zone,4,wall_mounted,Optima,42000,42000,9K+9K+9K+18K,9000-9000-9000-18000,45000,1.0714,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-tri-zone-mini-split-ac-12k-12k-18k-up-to-2100-sq-ft,DELLA Optima CloudAir Series 42000 BTU Tri-Zone Mini Split AC (12K+12K+18K)  - Up to 2100 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,42000,42000,12K+12K+18K,12000-12000-18000,42000,1.0,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
della-optima-cloudair-series-42000-btu-tri-zone-mini-split-ac-9k-12k-18k-up-to-1950-sq-ft,DELLA Optima CloudAir Series 42000 BTU Tri-Zone Mini Split AC (9K+12K+18K)  - Up to 1950 Sq.Ft.,TRUE,multi_zone,3,wall_mounted,Optima,42000,42000,9K+12K+18K,9000-12000-18000,39000,0.9286,-13,131,cold,22.0,R454B,50,100,check_product_page,FALSE
